Division,Operation,RoadName,Start,End,StartX,StartY,EndX,EndY,Distance,Direction
가로변,전일제,과천대로,남태령전원마을,시계,126.9809109,37.4662686,126.9860594,37.4438614,0.9,일방향
가로변,전일제,현충로,국립현충원R,한강대교남단,126.9691367,37.5010653,126.9413512,37.5175177,1.9,일방향
가로변,전일제,노량진로,영등포R,대방역3,126.9049401,37.5154175,126.9248601,37.5131213,1.1,양방향
가로변,전일제,퇴계로,회현역,광희동4,126.9726833,37.5573164,126.9913493,37.5625796,3,양방향
가로변,전일제,한남로,한남5,한남초교,126.9972957,37.5498372,127.0028071,37.5389217,0.6,일방향
가로변,전일제,망우로,청량리R,시조사3,127.0467693,37.5813852,127.0509304,37.5884314,1.1,일방향
가로변,전일제,강남대로,영동1교남단,염곡4,127.036472,37.4736903,127.057747,37.4624193,1,양방향
가로변,전일제,남대문로,광교R,숭례문교차로,127.0490804,37.2869223,126.9731133,37.5599568,1.5,양방향
가로변,전일제,사평로,강남성모병원3,반포IC,127.0026019,37.501773,127.0164453,37.5031308,1.3,양방향
가로변,전일제,양평로,양평동4,영등포전화국4,126.8937409,37.5362537,126.8707406,37.529493,1.5,양방향
가로변,전일제,압구정로,한양APT4,한남대교남단,127.0211423,37.5302225,126.9990422,37.5174077,2.5,양방향
가로변,전일제,남부순환로,시흥IC,까치고개,126.7949683,37.4558271,126.7276228,37.5176382,7.3,양방향
가로변,전일제,올림픽로,삼성4,잠실역4,126.7271177,37.455947,127.0869582,37.5132081,3.3,양방향
가로변,전일제,올림픽로,축협풍납,올림픽회관,127.0149287,37.5580621,127.1128523,37.5207362,1,양방향
가로변,전일제,대학로,이화R,혜화R,126.9433341,37.5597518,126.9519961,37.5709301,1.5,일방향
가로변,전일제,대학로,종로4가,이화R,126.996881,37.570745,126.9433341,37.5597518,0.6,일방향
가로변,전일제,창경궁로,종로4가,혜화R,126.996881,37.570745,126.9519961,37.5709301,0.5,일방향
가로변,전일제,관악로,봉천4,숭실대3,126.9400878,37.4777904,126.9546814,37.4958826,2,양방향
가로변,전일제,영등포로,영등포R,오목교,126.9049401,37.5154175,126.8728698,37.5245627,3.1,양방향
가로변,전일제,영동대로,영동대교남단,학여울역4,127.0521079,37.5250732,127.0683603,37.4966872,3.5,양방향
가로변,전일제,풍납로,천호4,축협풍납,127.0229829,37.5734014,127.0149287,37.5580621,1.2,양방향
가로변,시간제,왕십리길,한양공고앞4,성동교북단,127.0097769,37.5652124,127.0392212,37.5448987,3.4,양방향
가로변,시간제,용호로,원효대교남단,여의교,126.9363842,37.5235963,126.9256082,37.5159473,1,양방향
가로변,시간제,헌릉로,염곡4,내곡IC,127.057747,37.4624193,127.1515661,37.6752789,2.9,양방향
가로변,시간제,등촌로,등촌3,목동역,126.8422618,37.562002,126.8649342,37.5351862,2.9,양방향
가로변,시간제,월계로,월계초교입구,을지병원4,126.7765999,37.5621258,127.0681587,37.6371709,2,양방향
가로변,시간제,화곡로,화곡역4,양원초교앞,126.8279968,37.5421687,126.8493905,37.5462652,1.5,양방향
가로변,시간제,화곡로,강서구청입구4,화곡역4,126.811984,37.556001,126.8279968,37.5421687,1.9,양방향
가로변,시간제,원효로,원효대교북단,남영역,126.9533393,37.5320832,126.9689823,37.5406012,2.7,양방향
가로변,시간제,동일로,수락파출소,망우로,126.9205087,37.5322762,127.0828938,37.5964628,10.2,양방향
가로변,시간제,남부순환로,양재역4,학여울역4,127.0347953,37.4851282,127.0683603,37.4966872,3.7,양방향
가로변,시간제,강서로,발산역4,화곡역4,126.8175827,37.55034,126.8387113,37.5413342,2.1,양방향
가로변,시간제,도산대로,신사역4,안세병원4,127.0172923,37.5153492,127.0389469,37.52377,0.9,양방향
가로변,시간제,종암로,종암경찰서,고대입구3,127.0315703,37.6010392,126.9097876,37.5428149,1.3,양방향
가로변,시간제,성산로,성산1교,사천고가,126.9043209,37.5664169,126.9305854,37.5662116,1.5,양방향
가로변,시간제,은평로,서부세무서,녹번역3,126.9237571,37.6024781,126.9330813,37.6008161,0.7,양방향
가로변,시간제,올림픽로,올림픽회관,잠실4,126.9735814,37.6144639,127.1045407,37.5200437,1.5,양방향
가로변,시간제,화랑로,월릉교4,삼육대학교,127.0691037,37.6161735,125.5229889,35.8482198,4.4,양방향
가로변,시간제,동작대로,사당역,과천시계,126.9332504,37.5015873,126.9942303,37.4332182,2.1,양방향
중앙로,전일제,천호대로,신답R,아차산역4,127.0448213,37.5698932,127.0869456,37.5524827,4.5,양방향
중앙로,전일제,천호대로,신답철교,신답R,127.0394689,37.5722061,127.0448213,37.5698932,1.4,양방향
중앙로,전일제,천호대로,천호4,상일I.C,127.0066383,37.5722732,127.1771506,37.5491836,5.1,양방향
중앙로,전일제,천호대로,아차산역4,천호대교 남단,127.0869456,37.5524827,127.1096018,37.5429332,2.6,양방향
중앙로,전일제,하정로,신답철교,신설동R,127.0394689,37.5722061,127.0226608,37.5753302,1.7,일방향
중앙로,전일제,하정로,용두역(동대문구청역),신답철교,127.0361326,37.5738965,127.0394689,37.5722061,0.3,일방향
중앙로,전일제,삼일로,퇴계로2가,종로2가,127.0208117,37.5739335,126.9851197,37.5706839,1,양방향
중앙로,전일제,삼일로,남산1호터널 북단,퇴계로2가,126.9925164,37.5527407,127.0208117,37.5739335,0.7,양방향
중앙로,전일제,도봉로,의정부시계,미아4,127.0437021,37.7387337,126.9758515,37.738853,10,양방향
중앙로,전일제,미아로,미아4,혜화R,126.9758515,37.738853,126.9519961,37.5709301,4,양방향
중앙로,전일제,창경궁로,혜화R,원남4,126.9519961,37.5709301,126.9965411,37.575647,1.3,일방향
중앙로,전일제,강남대로,신사역4,영동1교남단,127.0172923,37.5153492,127.036472,37.4736903,4.8,양방향
중앙로,전일제,수색로,고양시계,사천교,126.7627807,37.6560128,126.9146479,37.5682877,3.9,양방향
중앙로,전일제,성산로,사천교,이대후문,126.9146479,37.5682877,126.9412853,37.5628102,2.9,양방향
중앙로,전일제,경인로,영등포R,오류IC,126.9049401,37.5154175,126.8465176,37.4980729,4.4,양방향
중앙로,전일제,망우로,망우역4,청량리R,127.0958271,37.5998682,127.0467693,37.5813852,4.9,일방향
중앙로,전일제,망우로,시조사3,망우역4,127.0509304,37.5884314,127.0958271,37.5998682,3.3,일방향
중앙로,전일제,왕산로,망우역4,구리시계,127.0958271,37.5998682,127.1340152,37.574652,2.2,양방향
중앙로,전일제,시흥대로,동대문R,청량리R,127.0330432,37.5836082,127.0467693,37.5813852,3.4,양방향
중앙로,전일제,대방로,대림3,기아대교 앞,126.8935124,37.5003282,126.8499396,36.2635327,6.5,양방향
중앙로,전일제,마포로,대림아파트 앞(대방동 383),대림3,126.92176,37.5091006,126.8935124,37.5003282,2.5,양방향
중앙로,전일제,충정로,마포대교북단,충정로삼거리,126.9417426,37.5317257,126.9597548,37.5593452,3.4,양방향
중앙로,전일제,한강로,충정로삼거리,미동초교,126.9597548,37.5593452,126.9631169,37.5637165,0.5,양방향
중앙로,전일제,한강로,한강대교노들섬,서울역남단,126.956672,37.5175219,126.9694661,37.5536109,4.1,양방향
중앙로,전일제,송파대로,서울역남단,서울역북단,126.9694661,37.5536109,126.9611715,37.5534058,0.5,양방향
중앙로,전일제,"통일,의주로",잠실대교 남단,성남시계,127.0970168,37.5147934,127.1059307,37.400313,6.3,양방향
중앙로,전일제,"통일,의주로",고양시계,박석고개,126.9977085,37.5358904,126.9298579,37.5360101,2.4,양방향
중앙로,전일제,"통일,의주로",박석고개,녹번역삼거리,126.9298579,37.5360101,126.933534,37.6009507,3.3,양방향
중앙로,전일제,공항로,녹번역3,서소문4,126.9330813,37.6008161,126.9728568,37.5634662,5.4,양방향
중앙로,전일제,공항로,등촌중학교,양화교,126.8572775,37.5523427,126.8831432,37.5489353,2.5,양방향
중앙로,전일제,공항로,발산역4,등촌중학교,126.8372723,37.5586252,126.8572775,37.5523427,2.3,양방향
중앙로,전일제,공항로,김포공항입구,공항전화국,126.8049365,37.5617588,126.8306135,37.5491489,1,양방향
중앙로,전일제,공항로,강서구청입구4(북단),강서구청입구4(북단),126.811984,37.556001,126.811984,37.556001,0.1,양방향
중앙로,전일제,공항로,발산역4,공항전화국,126.8372723,37.5586252,126.8306135,37.5523427,1.8,양방향
중앙로,전일제,노량진로,대방역3,한강대교남단,126.9248601,37.5131213,126.8306135,37.5493797,2.8,양방향
중앙로,전일제,신반포로,이수교차로,논현역4,126.982782,37.4998251,127.0189013,37.5109042,3.5,양방향
중앙로,전일제,남대문로,숭례문교차로,서울역북단,126.9731133,37.5599568,127.0035804,37.5109412,0.5,일방향
중앙로,전일제,동작대로,이수교차로,사당역,126.982782,37.4998251,126.9330294,37.5015873,2.7,양방향
중앙로,전일제,과천대로,사당역,서울시계,126.9330294,37.5015873,127.0035804,37.5110067,2.1,양방향
중앙로,전일제,신촌로,신촌R,아현교회,126.9400609,37.5580383,126.9496137,37.558776,1.2,양방향
중앙로,전일제,양화로,양화대교,신촌R,126.9015092,37.5418751,126.9400609,37.5580383,4,양방향
중앙로,전일제,새문안로,미동초교,세종로4,126.9631169,37.5637165,126.9761817,37.5757738,1.2,양방향
중앙로,전일제,종로,세종대로4,동대문R,126.9726211,37.5580095,127.0330432,37.5836082,2.8,양방향
